parameter_set,model_type,tau_factor_set,omega_tau_set,delta_t_raw_mean_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_over_raw_mean,elyte_c_range_cycle_mean,neg_surface_sto_range_cycle_mean,neg_avg_surface_sto_cycle_mean,time_layer_class,electrolyte_layer_class,surface_spatial_class,overall_interpretation
Chen2020,DFN,0.5,2.0,53.400986897906634,54.451577482931704,-1.0505905850250585,1.0505905850250585,-0.01967361740024776,0.4236223906179418,0.018358312791255053,-0.001139757544418188,geometry-dominated raw timing gain,weak electrolyte response,weak surface-spatial response,microstate response exists but timing gain is geometry-dominated
Chen2020,DFN,1.5,0.6666666666666666,160.605097279565,160.62133814503596,-0.016240865470938105,0.016240865470938105,-0.0001011229764561436,121.85509804154154,0.03462285867245067,-0.0026221713819652133,geometry-dominated raw timing gain,electrolyte-gradient response visible,DFN-level negative-surface heterogeneity visible,microstate response exists but timing gain is geometry-dominated
Chen2020,DFN,3.0,0.3333333333333333,326.8227009797692,326.82755792660464,-0.0048569468354536125,0.004889079685388964,-1.4861106100932275e-05,171.03812630779478,0.040145951327515625,-0.004906145026859337,geometry-dominated raw timing gain,electrolyte-gradient response visible,DFN-level negative-surface heterogeneity visible,microstate response exists but timing gain is geometry-dominated
Chen2020,DFN,5.0,0.2,530.9933962403567,530.9953523713131,-0.001956130956404678,0.00199582864893344,-3.6839082562134653e-06,201.0482482438199,0.04187339554599357,-0.006016605621578487,geometry-dominated raw timing gain,electrolyte-gradient response visible,DFN-level negative-surface heterogeneity visible,microstate response exists but timing gain is geometry-dominated
Chen2020,SPM,0.5,2.0,55.93381831675325,56.8279297577886,-0.8941114410353513,0.9026358870559754,-0.015985167255559016,0.0,0.0,-0.0006302632443221488,geometry-dominated raw timing gain,electrolyte-gradient not represented,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPM,1.5,0.6666666666666666,158.52087493259984,158.52963798473775,-0.00876305213790971,0.00892989786966183,-5.528011463244572e-05,0.0,0.0,-0.0011883941205930487,geometry-dominated raw timing gain,electrolyte-gradient not represented,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPM,3.0,0.3333333333333333,319.48167638214665,319.4840031624869,-0.0023267803402923447,0.0026550481613305974,-7.282985261130208e-06,0.0,0.0,-0.003296746957409817,geometry-dominated raw timing gain,electrolyte-gradient not represented,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPM,5.0,0.2,540.7947664785881,540.7969659368786,-0.0021994582904795836,0.0022994743813200104,-4.067085014156969e-06,0.0,0.0,-0.006161982048180148,geometry-dominated raw timing gain,electrolyte-gradient not represented,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPMe,0.5,2.0,53.96782568425749,53.97615897197702,-0.00833328771953461,0.012910858551691717,-0.00015441214490072454,16.935049379398787,0.0,-0.0006962746776587493,geometry-dominated raw timing gain,weak electrolyte response,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPMe,1.5,0.6666666666666666,161.9393983519367,161.94520657136385,-0.005808219427174776,0.006081415503618359,-3.586662347943269e-05,153.28824928749145,0.0,-0.0021880887416942567,geometry-dominated raw timing gain,electrolyte-gradient response visible,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPMe,3.0,0.3333333333333333,322.9885198523167,322.9907813616473,-0.0022615093306150415,0.002488477341649542,-7.001825735630152e-06,198.00274046126722,0.0,-0.004122463307620941,geometry-dominated raw timing gain,electrolyte-gradient response visible,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
Chen2020,SPMe,5.0,0.2,538.7481891444082,538.7497755059351,-0.00158636152689553,0.001714760089963363,-2.944532452934733e-06,219.71432070633,0.0,-0.006036319109500263,geometry-dominated raw timing gain,electrolyte-gradient response visible,negative-surface spatial range not represented,microstate response exists but timing gain is geometry-dominated
