model_type,condition,feature_id,variable_key,status,shape,error
SPMe,Chen2020_SPMe_hier_DC03,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(10683,)",
SPMe,Chen2020_SPMe_hier_DC03,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(10683,)",
SPMe,Chen2020_SPMe_hier_DC03,cell_temperature_K,X-averaged cell temperature [K],ok,"(10683,)",
SPMe,Chen2020_SPMe_hier_DC03,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(10683,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 19118)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(19118,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 15624)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_1p5tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(15624,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 14347)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_3p0tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(14347,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 12931)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(12931,)",
SPMe,Chen2020_SPMe_hier_DC03_AC07_5p0tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(12931,)",
SPM,Chen2020_SPM_hier_DC03,neg_avg_sto,Average negative particle stoichiometry,ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,pos_avg_sto,Average positive particle stoichiometry,ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 12579)",
SPM,Chen2020_SPM_hier_DC03,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,cell_temperature_K,X-averaged cell temperature [K],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(12579,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 13227)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(13227,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 12985)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(12985,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,pos_avg_surface_sto,X-averaged positive particle surface stoichiometry,ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,elyte_c_mean,X-averaged electrolyte concentration [mol.m-3],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,elyte_c_range,Electrolyte concentration [mol.m-3],ok,"(62, 12380)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,eta_n_mean,X-averaged negative electrode reaction overpotential [V],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,eta_p_mean,X-averaged positive electrode reaction overpotential [V],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,j_n_rms,X-averaged negative electrode interfacial current density [A.m-2],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,j_p_rms,X-averaged positive electrode interfacial current density [A.m-2],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,cell_temperature_K,X-averaged cell temperature [K],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,total_heating_mean,Volume-averaged total heating [W.m-3],ok,"(12380,)",
SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,neg_avg_sto,Average negative particle stoichiometry,ok,"(11763,)",
SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,neg_avg_surface_sto,X-averaged negative particle surface stoichiometry,ok,"(11763,)",
SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,neg_max_surface_sto,Maximum negative particle surface stoichiometry,ok,"(11763,)",
SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,neg_min_surface_sto,Minimum negative particle surface stoichiometry,ok,"(11763,)",
SPM,Chen2020_SPM_hier_DC03_AC07_5p0tauSet,pos_avg_sto,Average positive particle stoichiometry,ok,"(11763,)",
